Ano,Data,38830000,38850000,38860000,38880000,38895000
1994,1994-01-01,0.0,0.0,0.6789,0.0,0.0335
1994,1994-01-02,0.0,0.0,0.7334,0.0,0.0335
1994,1994-01-03,0.0,0.0,0.7334,0.0,0.0335
1994,1994-01-04,0.0,0.0,0.7334,0.0,0.1182
1994,1994-01-05,0.0,0.0,0.7334,0.2337,0.0335
1994,1994-01-06,0.0,0.0,0.7907,0.4037,0.0448
1994,1994-01-07,0.0,0.0,0.8508,0.4037,0.0335
1994,1994-01-08,0.0,0.0,0.8508,0.4037,0.0335
1994,1994-01-09,0.0,0.0,0.8508,0.4037,0.0335
1994,1994-01-10,0.0,0.0,0.8508,0.4037,0.0335
1994,1994-01-11,0.0,0.0,0.8508,0.2337,0.0335
1994,1994-01-12,0.0,0.0,0.9802,0.2337,0.0335
1994,1994-01-13,0.0,0.0,0.9802,0.2337,0.0335
1994,1994-01-14,0.0,0.0,0.9802,0.1082,0.0335
1994,1994-01-15,0.0,0.0,0.9802,0.029,0.0448
1994,1994-01-16,0.0,0.0,0.9802,0.029,0.6202
1994,1994-01-17,0.0,0.0,0.9802,0.029,0.5575
1994,1994-01-18,0.0,0.0,1.1219,0.1082,0.6202
1994,1994-01-19,0.0,10.939,6.4325,0.2337,0.5575
1994,1994-01-20,0.0,1.8662,3.3453,0.4037,0.4972
1994,1994-01-21,0.0,1.5071,1.1976,9.005,0.4681
1994,1994-01-22,0.0,0.0593,1.8409,44.5608,0.6202
1994,1994-01-23,0.0,0.0059,1.6438,25.2227,2.3884
1994,1994-01-24,0.0,0.0,1.8409,17.5212,4.9822
1994,1994-01-25,0.0,0.0,1.7405,12.6348,4.5693
1994,1994-01-26,0.0,0.0,1.7405,10.2981,3.7216
1994,1994-01-27,0.0,0.0,1.7405,9.005,2.8269
1994,1994-01-28,0.0,0.0,1.7405,7.7944,2.3884
1994,1994-01-29,0.0,0.0,1.7405,5.6232,2.078
1994,1994-01-30,0.0,0.0,1.6438,4.0718,1.7841
1994,1994-01-31,0.0,0.0,1.6438,5.9617,1.5976
1994,1994-02-01,0.0,0.0,1.6438,4.0718,1.5073
1994,1994-02-02,0.0,0.0,1.6438,1.8846,1.3327
1994,1994-02-03,0.0,0.0,1.5508,0.8722,1.2484
1994,1994-02-04,0.0,0.0,1.1379,0.8722,1.1259
1994,1994-02-05,0.0,0.0,0.9959,0.8722,1.1259
1994,1994-02-06,0.0,0.0,0.8661,0.6169,2.9408
1994,1994-02-07,0.0,0.0,0.8661,0.6169,2.4417
1994,1994-02-08,0.0,0.0,1.1379,0.4037,1.8319
1994,1994-02-09,0.0,0.0,1.4613,0.4037,1.7367
1994,1994-02-10,0.0,0.0,1.5508,0.4037,1.6435
1994,1994-02-11,0.0,0.0,1.4613,0.4037,1.4629
1994,1994-02-12,0.0,0.0,1.4613,0.4037,1.3327
1994,1994-02-13,0.0,5.9859,1.6438,0.2337,1.5522
1994,1994-02-14,119.522,3.8936,1.5508,0.2337,1.5976
1994,1994-02-15,5.4732,0.9082,1.4613,0.1653,1.7841
1994,1994-02-16,2.0212,0.7435,1.4613,0.1082,1.3756
1994,1994-02-17,1.1084,0.2543,1.4613,0.2337,1.2071
